avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctUnemployed16_Over,PctPrivateCoverage,PctEmpPrivCoverage,PctWhite,PctBlack,PctOtherRace,PctMarriedHouseholds,BirthRate,TARGET_deathRate,County,State,State.Abbreviation,fips
4.582401388,4.111442046,18.56422155,1.086572822,5.796958129,2.368448749,6.564063576,1.00006506,1.065410737,141.5748783,2.725675462,1377.263736,2.444834438,217.1206631,1.961023494,2.607969393,2818.689322,20.57368368,3342.538601,0.96021781,0.619009686,1131.15863,2.49122354,164.9,Kitsap,Washington,WA,53035
3.689902376,3.195470058,17.42910734,1.086561798,5.456276853,2.853864466,3.228084604,1.000055551,1.058577413,104.3574788,2.237708445,989.3778384,2.577446153,270.3258579,2.019348552,2.56887805,2462.819878,21.36017926,3979.160011,-0.031377677,1.353993077,841.1736681,1.89336829,161.3,Kittitas,Washington,WA,53037
3.420442918,3.006266105,16.41921356,1.086563014,5.29242219,2.622652375,3.995300256,1.000055551,1.070012505,161.8977678,2.932060643,1467.931418,2.96785075,333.4819121,1.876021594,2.404118422,2027.783453,17.86637001,4131.66692,-0.300876972,1.030825898,1198.052698,1.654268976,174.7,Klickitat,Washington,WA,53039
4.107613821,3.735941577,17.71480384,1.086557505,5.572557,2.773680635,6.144720914,1.000052991,1.068374789,149.9033429,2.675079019,1387.780579,1.022489497,393.3215105,1.621358927,3.277210954,1704.319225,17.90767844,4206.762649,-0.244657898,0.31130131,1056.233492,1.99343096,194.8,Lewis,Washington,WA,53041
3.100042545,2.611834595,16.42612278,1.086563597,5.113327105,2.473881595,-57.22333962,1.000055551,1.072201876,177.7880996,2.237708445,1669.469951,0.752832215,437.5070874,1.847876235,1.858115129,1896.259683,17.94895752,4425.927308,-1.296074275,-0.699286467,1180.298096,2.687391142,144.4,Lincoln,Washington,WA,53043
4.108629226,3.598747661,18.77535098,1.086565738,5.528557555,2.686003594,5.43745677,1.0000568,1.070294013,173.1294844,2.82806817,1269.250984,1.80438639,365.1166513,1.742264571,3.386061579,1799.009948,16.90792482,3600.955071,0.504584323,1.226798273,1064.234375,2.120811871,176,Mason,Washington,WA,53045
3.86641628,3.370526026,18.17327681,1.086548496,5.447338953,3.064077864,-57.22333962,1.00005002,1.068217926,150.3976244,2.428095939,1462.518055,2.17684441,351.3910422,1.742264571,2.774878882,1224.309301,15.06922568,2819.173959,-0.481242526,2.213458587,1055.927681,1.844310567,175.9,Okanogan,Washington,WA,53047
3.605485952,3.203250663,17.31104497,1.086552177,5.290388768,2.811953957,-57.22333962,1.00005002,1.074178295,196.7835008,2.008722819,1387.780579,0.866280828,393.3215105,1.717634178,2.774878882,1555.904708,14.01294956,3995.064455,-1.176594649,0.840402378,975.2803095,2.421492162,183.6,Pacific,Washington,WA,53049
3.341571216,2.812670077,18.13901064,1.086555436,5.175155059,3.026498049,-57.22333962,1.000051665,1.072810115,182.483185,2.332102305,1561.488006,0.35014086,407.7999775,1.746212406,3.009762989,1539.21479,15.76100286,4210.68801,-1.666200776,-0.478520714,1155.821323,2.32711261,190.5,Pend Oreille,Washington,WA,53051
4.945505079,4.5317078,18.8487103,1.086571855,5.977216127,2.518836261,6.390884689,1.000058507,1.06189718,119.30222,3.011104841,1249.17694,2.489985553,329.0746748,1.881376226,2.827549338,2441.811641,21.67224944,2790.955025,1.93070497,1.012430712,1018.098784,2.309809859,177.8,Pierce,Washington,WA,53053
3.474221438,2.812670077,17.45530896,1.086567742,5.229707271,2.489105761,-57.22333962,1.000058507,1.075579752,208.1243001,1.580747497,1612.18752,2.013851509,122.0249195,2.073857671,2.151345419,2256.785905,14.89477673,4283.103139,-0.426680875,0.818098521,1017.12634,1.987006775,121.4,San Juan,Washington,WA,53055
4.337523848,3.868672695,18.69333897,1.086564927,5.663548405,2.692110206,7.141703855,1.0000568,1.066910614,144.0097686,2.776671845,1435.601184,1.296183322,284.4952162,1.873311466,2.646296315,2072.604328,19.13373271,3661.251721,-0.215229998,1.895643034,1134.534447,2.399560522,172.7,Skagit,Washington,WA,53057
3.079527315,2.611834595,17.23095344,1.086566049,5.13806678,2.481524383,-57.22333962,1.0000568,1.070153852,160.3835663,2.599934247,1478.788132,0.972094986,337.917183,1.823538498,2.665183537,2072.604328,20.9680798,4361.638976,-0.16824482,-0.255144487,1134.9666,2.065477187,188.3,Skamania,Washington,WA,53059
4.89471231,4.454666457,18.61335275,1.086578264,5.964701407,2.249765154,5.149637569,1.00006506,1.063781965,127.2277105,3.091048905,1356.350006,2.74217965,237.3584361,1.986851813,2.508729498,2685.172889,25.42738279,3105.890066,0.96065655,0.825139719,1125.536427,2.038456475,165.3,Snohomish,Washington,WA,53061
4.754797658,4.373292814,17.8676765,1.086563718,5.898016548,2.727939498,6.477474702,1.000055551,1.063378142,127.2277105,2.501141014,1219.365762,2.800825417,264.3592877,1.928296918,2.683891876,2124.42795,20.92874465,3962.199966,0.60538471,0.033093432,945.4158183,2.252262743,171,Spokane,Washington,WA,53063
3.868281565,3.416762296,17.61550938,1.086556997,5.458858528,2.889059635,-57.22333962,1.000052991,1.070843094,166.9754088,2.47669267,1634.980538,1.603961107,463.0253352,1.691238174,2.861914033,1698.486023,17.45164797,3974.607766,-0.711398201,-0.143798854,1231.034666,1.612895901,174.2,Stevens,Washington,WA,53065
4.580548388,4.123764862,18.64732568,1.086572667,5.802856083,2.426677817,5.59314875,1.00006506,1.064661321,132.9120559,2.675079019,1372.020309,2.555921945,208.206904,1.975199015,2.702425125,2773.823989,21.32107077,3408.731093,1.051834914,0.204886656,1050.336585,2.19407322,169.9,Thurston,Washington,WA,53067
2.755759006,2.095987741,18.19320845,1.086564589,4.847603471,2.575624368,-57.22333962,1.000055551,1.074394643,200.0044703,2.167962903,1430.247798,1.706913742,429.9866539,1.662839775,3.056776389,2091.963215,17.99020736,4319.108624,-2.056325002,-25.63522718,1153.010211,-0.563585225,153.8,Wahkiakum,Washington,WA,53069
3.958094143,3.480443331,17.89413728,1.086563467,5.526240598,2.692110206,6.481509621,1.000055551,1.063069806,129.1143134,2.624882519,1080.351525,2.124009396,206.4455865,1.886645418,2.270488306,2157.142586,19.93769878,3716.952855,0.502139442,1.788777325,989.2408841,1.818933042,162.8,Walla Walla,Washington,WA,53071
4.486148548,4.006683847,18.57926033,1.08656694,5.762618725,2.692110206,5.795146987,1.0000568,1.062651186,121.6175624,2.700327248,1127.337819,2.619844416,213.5337352,1.994380911,2.646296315,2358.678337,21.82775917,3650.994178,-0.126880821,0.901690509,940.8675093,1.945572481,163.3,Whatcom,Washington,WA,53073
3.562061246,3.006266105,17.09747705,1.086554462,5.47925028,3.255782242,-57.22333962,1.000051665,1.043438168,63.71142582,2.167962903,650.9526591,3.10643961,124.7745758,2.066670029,2.75701045,3064.048645,25.2420701,3491.486904,0.771971396,0.484110887,676.5053156,1.469842834,140.8,Whitman,Washington,WA,53075
4.439617904,4.047083955,17.41984181,1.086557623,5.789539911,2.946478761,6.002914795,1.000052991,1.057927374,103.9139269,4.15101433,1180.177317,1.253564169,307.4595431,1.6478028,2.79258944,1489.684831,16.14606673,3042.211371,-0.170884044,2.693421234,1042.120668,2.620619001,169.4,Yakima,Washington,WA,53077
3.3770063,2.890388641,17.93368896,1.086544774,5.236498385,2.991776156,-57.22333962,1.000047813,1.067329459,143.5218076,3.091048905,1351.146564,2.74217965,846.741518,1.536232712,2.79258944,1544.7681,18.52384014,4687.451058,-0.177971963,-3.280663498,1234.344039,0.95660433,189.7,Barbour,West Virginia,WV,54001
4.174543929,3.76530114,18.19178615,1.086569293,5.647642794,2.526124713,4.673800218,1.000058507,1.064565554,126.757346,-0.499672985,1340.769669,3.055466957,566.285591,1.772697299,2.912393885,2448.804391,23.70585539,3852.866729,2.021982507,-0.098566035,1076.488204,2.08891428,206.1,Berkeley,West Virginia,WV,54003
3.625700731,3.195470058,18.72703395,1.08654824,5.317515307,3.017937716,-57.22333962,1.00005002,1.067657678,148.9162274,2.624882519,1522.614838,2.013851509,927.9342725,1.320592061,2.827549338,1811.026219,20.45490675,4830.677438,-0.391905541,-1.967083489,1139.798414,1.850448242,236.7,Boone,West Virginia,WV,54005
3.2897949,2.875742048,17.19460148,1.086541339,5.199696673,3.022227681,-57.22333962,1.000040552,1.069653844,159.3764443,2.649930776,1372.020309,1.418029131,917.1422095,1.574948052,3.576540787,1572.684592,19.49678819,4791.431015,-0.694142274,-25.63522718,1148.519848,2.289082622,196.3,Braxton,West Virginia,WV,54007
